StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Screen 1,Screen 2,End Coordinate,Start Coordinate,Q6,1_Q10,2_Q10,3_Q10,4_Q10,5_Q10,6_Q10,7_Q10,8_Q10,9_Q10,10_Q10,11_Q10,12_Q10,13_Q10,14_Q10,15_Q10,16_Q10,17_Q10,18_Q10,19_Q10,20_Q10,21_Q10,22_Q10,23_Q10,24_Q10,25_Q10,26_Q10,27_Q10,28_Q10,29_Q10,30_Q10,participantId,assignmentId,projectId
2023-02-17 14:05:41,2023-02-17 14:05:52,IP Address,73.202.210.157,100,11,True,2023-02-17 14:05:53,R_cT85x6OSP5Bh3mV,,,,,37.7506,-122.4121,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319343789BBB48CF93CB2E2F28722C7B,dd307dd7-31ce-4379-81cb-ab8fecb116a7,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:05:49,2023-02-17 14:05:54,IP Address,71.228.117.246,100,5,True,2023-02-17 14:05:55,R_30cvk66LnxSDE9l,,,,,35.0416,-106.6693,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E550F88BE6CE4D0894E8A7A0F2817EAD,96f95c8c-f7ae-4506-8cf7-0342db22bd81,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:05:40,2023-02-17 14:05:53,IP Address,199.168.73.108,100,13,True,2023-02-17 14:05:57,R_1Cr6dN9GaD76Edy,,,,,37.8868,-84.5667,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CE791658D24940268E2D468FDC7A2F88,b0cb84f7-522d-4937-bf38-4c24d24ea6af,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:05:12,2023-02-17 14:05:57,IP Address,73.117.12.71,100,45,True,2023-02-17 14:05:58,R_3dWWEHwyw6qeKCW,,,,,39.811,-79.3607,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6C2C2975E2D47A29BB1DC4817243718,3b85bbac-95bc-4220-a61e-73d678516b11,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:05:47,2023-02-17 14:05:56,IP Address,76.144.116.93,100,9,True,2023-02-17 14:05:58,R_wTwsbYZlji5YJup,,,,,44.0599,-123.0205,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C0089D3D146E4E3580998A7F8D6860E2,3e0563a8-e38a-4bf1-aa27-3515d1c645e3,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:05:34,2023-02-17 14:05:59,IP Address,47.157.216.145,100,24,True,2023-02-17 14:06:00,R_2uR32fgFdzKSOCH,,,,,34.0973,-117.907,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4E06101538D1454A8CC397CB0E7EEC71,f39a0d9f-2032-4ff5-9bb2-ece2ae8d62b3,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:05:58,2023-02-17 14:06:02,IP Address,216.245.106.73,100,4,True,2023-02-17 14:06:04,R_2xREcNfqjhrbIum,,,,,34.511,-89.9187,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6EA3B4504CCC488197481417CC96CAA6,f96703d7-53e8-4c42-988b-12f03e426032,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:06:04,2023-02-17 14:06:09,IP Address,207.172.38.10,100,4,True,2023-02-17 14:06:11,R_2Cladr799nSG5WQ,,,,,42.1124,-87.979,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76EFF0A69FC445838D25D3F86BB25E44,1065c615-452c-4a47-a617-5ee33fea8f7b,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:06:09,2023-02-17 14:06:14,IP Address,75.110.141.71,100,4,True,2023-02-17 14:06:16,R_0Jad595X0yWruJr,,,,,35.0987,-77.1045,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8E8EF0EC9F264A9FBE87F6A2D7EF0ACD,2bcc97f9-3231-4d45-aefe-c95729fa7743,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:06:05,2023-02-17 14:06:14,IP Address,173.241.76.179,100,9,True,2023-02-17 14:06:17,R_2QMTf4AK64tTOKv,,,,,34.0946,-89.4134,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E7E7F6ABF8C44256908EDCE0906676EF,d7dda5ce-6922-47a2-8ffc-2100f65011f3,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:06:14,2023-02-17 14:06:17,IP Address,65.175.106.2,100,2,True,2023-02-17 14:06:19,R_110bxLZrh6I0UyC,,,,,37.751,-97.822,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DC3Z6XE15A5B7F78D1357Y5E4EA4Z7X4,7873e8e9-42c7-412c-a454-8c7753cd5c60,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:04:56,2023-02-17 14:06:20,IP Address,173.225.85.254,100,83,True,2023-02-17 14:06:24,R_1JXYhpHdzPZGjsP,,,,,48.1701,-117.1449,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABD28A39DF7C4DA0A000C1786D43701D,d84c2f7a-eda4-4ac3-9b8e-2967955e5dcb,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:06:22,2023-02-17 14:06:25,IP Address,65.175.106.2,100,2,True,2023-02-17 14:06:27,R_1rvPAcFm9dRUPoc,,,,,37.751,-97.822,anonymous,EN,Not sure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DC3Z6XE15A5B7F78D1357Y5E4EA4Z7X4,7873e8e9-42c7-412c-a454-8c7753cd5c60,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:06:14,2023-02-17 14:06:29,IP Address,67.4.143.14,100,14,True,2023-02-17 14:06:32,R_xFcud8z5jTUJnnr,,,,,44.9998,-93.393,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,036BF3ACCB0D49F19A56F0D1A9978A65,590b6ac8-8260-4eed-b5e4-783b3d7261a9,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:06:11,2023-02-17 14:06:37,IP Address,73.117.12.71,100,26,True,2023-02-17 14:06:39,R_9AXnvMY7r1sABtD,,,,,39.811,-79.3607,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6C2C2975E2D47A29BB1DC4817243718,3b85bbac-95bc-4220-a61e-73d678516b11,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:06:24,2023-02-17 14:06:39,IP Address,73.114.54.181,100,14,True,2023-02-17 14:06:39,R_s6eGUErWDgfhvfX,,,,,41.6742,-72.8694,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29864CED404646EFA769BA530C274D99,e59631d9-be07-4c77-b181-24b492f48b01,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:05:55,2023-02-17 14:06:44,IP Address,45.86.210.112,100,49,True,2023-02-17 14:06:45,R_2TH4IprwQJHFfKs,,,,,33.4413,-112.0421,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5D97A099E34D4531BFDC2D331DD6BD1F,19a51f82-1079-4c07-b450-783e9b828652,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:05:28,2023-02-17 14:06:43,IP Address,98.30.55.201,100,75,True,2023-02-17 14:06:46,R_2e5qhIk37nflGnw,,,,,41.0413,-83.6461,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93D455B5415B479DAFFCE6C26C0BEC91,2809433b-c713-4caf-862b-78e1b168d06b,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:06:01,2023-02-17 14:06:51,IP Address,69.130.145.193,100,49,True,2023-02-17 14:06:53,R_29pqx3VPfYMA9Oh,,,,,36.1868,-86.5067,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442A496F82B142BD80021310AE144EA7,c0398868-45fe-42a4-a865-e0072c53819f,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:01:36,2023-02-17 14:06:55,IP Address,45.18.161.24,100,318,True,2023-02-17 14:06:56,R_4GytlsJRTQyyJVL,,,,,35.8677,-86.4174,anonymous,EN,Yes,,D18,F5,V7 (7a+),V9 (7c),V10 (7c+),V9 (7c),V11 (8a),V8 (7b/7b+),V11 (8a),V4 (6b/6b+),V10 (7c+),V12 (8a+),V8 (7b/7b+),V8 (7b/7b+),V9 (7c),V7 (7a+),V7 (7a+),V8 (7b/7b+),V10 (7c+),V5 (6c),V6 (6c+/7a),V5 (6c),V6 (6c+/7a),V9 (7c),V5 (6c),V11 (8a),V9 (7c),V10 (7c+),V4 (6b/6b+),V5 (6c),V7 (7a+),V5 (6c),V11 (8a),1F8FAFCF5442455CAF4C9CFF8620AB7E,bf435008-6403-4d4b-9b21-80267afb8990,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:06:37,2023-02-17 14:06:55,IP Address,172.2.146.225,100,17,True,2023-02-17 14:06:59,R_2PBSshnbe0MIUut,,,,,37.2821,-121.831,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,089D82A5517A4F8DBE81B68F9B619986,a9701ce2-d50a-464e-a72d-664eed580cf4,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:06:49,2023-02-17 14:07:05,IP Address,172.58.172.139,100,16,True,2023-02-17 14:07:06,R_PZqMRf1vVeTVb2N,,,,,28.4883,-81.4061,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7D19CBF775E4416A8420C2FAC1BDD265,bf7d1270-bf85-410b-9762-bb1f39a2705b,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:06:57,2023-02-17 14:07:08,IP Address,50.24.60.227,100,10,True,2023-02-17 14:07:10,R_1rIfBT2IkCcO6Ya,,,,,30.5478,-96.2715,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D53E9EC9E2074B16BD694A2AF55DC2DB,565f4139-d3b7-4be9-82ff-a530ba6c9639,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:07:09,2023-02-17 14:07:14,IP Address,98.144.233.131,100,4,True,2023-02-17 14:07:15,R_10U7JB8AK2PT0uD,,,,,42.8895,-87.9074,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15ED5BFCE73548749556875898C76321,46f9a4d2-f1fb-448e-ab85-7d9c69c88014,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:04:14,2023-02-17 14:07:15,IP Address,107.190.199.98,100,180,True,2023-02-17 14:07:17,R_zUdkBfnhNQTJobL,,,,,34.5501,-86.4001,anonymous,EN,Yes,,d18,f5,V4 (6b/6b+),V7 (7a+),V11 (8a),V6 (6c+/7a),V8 (7b/7b+),V11 (8a),V4 (6b/6b+),V9 (7c),V9 (7c),V10 (7c+),V10 (7c+),V9 (7c),V10 (7c+),V11 (8a),V9 (7c),V8 (7b/7b+),V9 (7c),V6 (6c+/7a),V7 (7a+),V12 (8a+),V9 (7c),V11 (8a),V7 (7a+),V8 (7b/7b+),V11 (8a),V6 (6c+/7a),V7 (7a+),V4 (6b/6b+),V11 (8a),V11 (8a),V4 (6b/6b+),A27F76CB81BD4B1C8734504A8FC9746E,f5022e1e-be1a-40f4-b581-204bec03fec5,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:06:11,2023-02-17 14:07:20,IP Address,73.87.107.56,100,68,True,2023-02-17 14:07:21,R_1oHdU2jMO5Z2io8,,,,,38.9994,-77.0336,anonymous,EN,Yes,,18D,5F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52F21B0001B04D9BADE6BEA0550B5468,0b1d09b5-60ab-4720-85e2-e28b6aaac20f,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:06:33,2023-02-17 14:07:21,IP Address,185.199.103.121,100,47,True,2023-02-17 14:07:22,R_3JJ0Qk5ivsjyUOp,,,,,40.7425,-73.9877,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B157D5CEE1FE433EA49A56AC1EFCDF9B,cf15228b-6b67-4649-ba28-4259da4a9ece,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:02:26,2023-02-17 14:07:20,IP Address,67.212.107.127,100,294,True,2023-02-17 14:07:22,R_1Nncw6Yi3cBpdRv,,,,,42.5243,-92.4479,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DE0C3AB41D2E4C96A4030B1D6ED1C5A1,7873e8e9-42c7-412c-a454-8c7753cd5c60,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:07:21,2023-02-17 14:07:25,IP Address,107.127.35.87,100,4,True,2023-02-17 14:07:26,R_2Yu1LpbjVLCnptg,,,,,38.5774,-90.6709,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6A936A6A9174C77A323CDC96B7833E4,ba14741c-f960-4642-b63e-44928ba5198d,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:06:15,2023-02-17 14:07:25,IP Address,96.237.158.213,100,69,True,2023-02-17 14:07:26,R_3s1a3zu5PV2QHRW,,,,,42.1186,-70.9576,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0028BA0DFD24A3FA8780F627750C065,d5e080a5-1877-4df1-98eb-652889fed722,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:05:48,2023-02-17 14:07:30,IP Address,76.102.11.254,100,101,True,2023-02-17 14:07:31,R_28Nbc0nXtL46AGI,,,,,36.7126,-121.6437,anonymous,EN,Yes,,18D,5F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D016A9DE081F4F8ABD8F34F220882F66,cf5ff423-d7e9-4058-9e79-7f53f69b8674,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:07:23,2023-02-17 14:07:39,IP Address,50.5.46.150,100,15,True,2023-02-17 14:07:41,R_1mIaeNSclV05ehU,,,,,39.1642,-84.2356,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0B97FA950789450AA070261124D188E7,3384974d-e5b4-4fe2-a886-06def3e7472d,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:07:34,2023-02-17 14:07:40,IP Address,76.87.99.108,100,6,True,2023-02-17 14:07:42,R_3DwKH2KwB2LFw5E,,,,,34.0264,-117.936,anonymous,EN,Not sure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3F2F0A25E08348DEAF83C2611269767D,801941a0-89e5-4d39-bf50-7fe1c0e71724,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:07:38,2023-02-17 14:07:42,IP Address,67.173.14.104,100,3,True,2023-02-17 14:07:43,R_Q4zMxuEcRvU3E8F,,,,,41.8783,-87.6907,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1AF36584A39C4635A9D916955A490699,c418fb1c-c380-4979-be7c-470b30ce22de,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:02:34,2023-02-17 14:07:52,IP Address,172.58.45.24,100,318,True,2023-02-17 14:07:54,R_1Flkihq7Z8o0odi,,,,,43.6165,-116.2001,anonymous,EN,Yes,,D18,F5,V11 (8a),V9 (7c),V12 (8a+),V9 (7c),V10 (7c+),V10 (7c+),V8 (7b/7b+),V7 (7a+),V7 (7a+),V8 (7b/7b+),V6 (6c+/7a),V10 (7c+),V10 (7c+),V7 (7a+),V11 (8a),V7 (7a+),V7 (7a+),V11 (8a),V8 (7b/7b+),V10 (7c+),V10 (7c+),V6 (6c+/7a),V8 (7b/7b+),V10 (7c+),V10 (7c+),V11 (8a),V9 (7c),V6 (6c+/7a),V10 (7c+),V9 (7c),V7 (7a+),FE5215A81567489FBC60930236B1C65E,c1e5ead0-065b-4c15-9cbb-c58c0f8e28c5,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:05:14,2023-02-17 14:07:53,IP Address,73.155.3.226,100,159,True,2023-02-17 14:07:55,R_1BQ4yRKkvV60Byx,,,,,29.7679,-94.9724,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5EF44FDA4E464CDEA4370DB69E23EBC7,66b96c41-c0be-4aff-9d37-7dc2281e4e95,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:07:13,2023-02-17 14:07:56,IP Address,71.244.211.183,100,43,True,2023-02-17 14:07:57,R_3NVcCzoU6cEf49L,,,,,39.2812,-76.7406,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B7220BAF8F0C4DBB914E5A74896E3833,0181167e-e2f9-4af4-86c6-4adcbe8a04d7,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:07:41,2023-02-17 14:08:02,IP Address,73.213.27.14,100,21,True,2023-02-17 14:08:03,R_3sAH9BwFl507Ih1,,,,,39.2124,-76.8776,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1CFC825143704473BE9D8266F27DD7A3,af2e7860-b9b2-4183-90fc-fda24884abc1,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:07:57,2023-02-17 14:08:05,IP Address,73.19.30.85,100,8,True,2023-02-17 14:08:07,R_1OUKbGdnqGGqq89,,,,,47.8561,-121.9467,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6BC3B918727A492B87361114B882DA38,5d285d40-1c11-4703-ace8-c3efc9960e6a,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:08:08,2023-02-17 14:08:15,IP Address,65.131.221.169,100,7,True,2023-02-17 14:08:16,R_31mdzS4bNT3yX05,,,,,40.2459,-83.3603,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A04167BD928C407A9BD0119236319554,9581e499-baf6-4f37-bbc0-568d509b9206,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:03:49,2023-02-17 14:08:18,IP Address,71.63.47.189,100,268,True,2023-02-17 14:08:19,R_ZIa9z2qoT3UGKOt,,,,,37.3392,-77.4175,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5FA8CD03C938437EA3E2AD01A3F29BBE,b72e9e7f-f21c-4f04-93b2-3a406d28a6af,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:08:06,2023-02-17 14:08:23,IP Address,69.246.50.47,100,17,True,2023-02-17 14:08:25,R_SDKk4twK6DZsfYJ,,,,,35.2083,-89.8058,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A3BE49A9E92C4E6DBBC9B6EA70CC9AA9,133a4c26-695f-48d2-b53b-7aae8f95dd57,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:08:16,2023-02-17 14:08:24,IP Address,159.250.51.126,100,7,True,2023-02-17 14:08:26,R_2v1aNfdl9OItyOu,,,,,40.5076,-78.3925,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F1D9726271BC458085F975A45FBCBF98,3468ce71-e061-4750-a528-5b62dbfa5bd8,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:08:26,2023-02-17 14:08:31,IP Address,68.39.200.7,100,4,True,2023-02-17 14:08:32,R_3HReO7U6Hd3JOD9,,,,,39.7536,-86.1935,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CF908AFA5A284F3C8A2D7591BD871C40,886909eb-b31e-4011-8759-0a3f324693c8,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:08:26,2023-02-17 14:08:34,IP Address,98.26.12.85,100,7,True,2023-02-17 14:08:35,R_2teVoOMgttFQ5J4,,,,,35.7614,-78.6015,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A357DD9FEFB6464D82FB322339AAA94C,dd913293-f98e-4a74-98d2-9b37fbc54310,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:05:31,2023-02-17 14:08:38,IP Address,24.44.249.201,100,187,True,2023-02-17 14:08:40,R_3DbBnGPHPJlJWlN,,,,,40.7051,-73.243,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9DBDA0E063D94F2F96CEBB57D726E98C,a7ea3dac-c9f7-4975-b3d6-8a95c0761fb7,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:07:25,2023-02-17 14:08:41,IP Address,174.103.0.57,100,76,True,2023-02-17 14:08:42,R_2PaSgsOxVOG1zMo,,,,,37.752,-87.1514,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34E7AA07F1D4417FB1C52A8419E77995,8ce73254-c59b-4734-a17f-9f5be1ff3944,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:08:41,2023-02-17 14:08:54,IP Address,162.230.248.154,100,13,True,2023-02-17 14:08:56,R_1hF47smC384ORpQ,,,,,42.4732,-83.2994,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46C2884925C3473C9B6E9427C866896C,c610e7d3-fcda-4575-9fb0-22dbb26e7558,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:08:53,2023-02-17 14:08:58,IP Address,74.193.153.93,100,4,True,2023-02-17 14:08:58,R_2znLU6SBlqaZjTj,,,,,33.3759,-91.0374,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2A2C4377CBDE4CCC88F4C85C3DF04A61,848aedcf-5aa0-4fd3-b74f-8f14b8000f20,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:08:27,2023-02-17 14:09:01,IP Address,104.148.214.88,100,34,True,2023-02-17 14:09:02,R_tLFV2ofIVYxPkB3,,,,,40.5269,-74.3374,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C88DE755A92949819BD605EE69D76852,7b2bb2cd-1cf4-43fa-af54-b8de09e8249e,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:08:29,2023-02-17 14:09:08,IP Address,75.192.225.209,100,38,True,2023-02-17 14:09:09,R_w7tgfFO7KTRMoKd,,,,,42.6359,-73.7219,anonymous,EN,Not sure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64D9B6FEE1FC49A5936E9549FB004B4A,d37f4a6b-b58f-4746-9515-9a59a44c1cfc,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:09:05,2023-02-17 14:09:13,IP Address,66.44.92.130,100,8,True,2023-02-17 14:09:14,R_3pfDaHAXyDw1g1O,,,,,38.8957,-77.0443,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07CBFBD8388B418A9C6CB14C0200C437,443f50e6-d681-450a-9b54-a6d44a6b4f56,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:02:26,2023-02-17 14:09:14,IP Address,72.133.212.164,100,408,True,2023-02-17 14:09:15,R_3NFcQNYFEcgkInu,,,,,41.2639,-80.8164,anonymous,EN,Yes,,18D,5F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85DDE07013CC43B083117014A898A92C,47b9c35b-1f68-4012-8d2a-9053ae03a0e7,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:09:10,2023-02-17 14:09:16,IP Address,172.58.155.196,100,6,True,2023-02-17 14:09:17,R_Cf5LaCGOxtBauXv,,,,,35.2296,-80.843,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242540AED1C7463890838C715C926676,1c5e9df7-b855-46a1-9077-2815e7aeadcd,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:09:16,2023-02-17 14:09:21,IP Address,172.0.105.254,100,5,True,2023-02-17 14:09:22,R_OxQCyKrGOE1UP3H,,,,,35.1499,-90.0558,anonymous,EN,Not sure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BD298ED4FB9A4560804268326CE38E48,1dd18b87-f7cd-4b60-b479-867000fc501c,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:09:14,2023-02-17 14:09:26,IP Address,172.9.229.156,100,11,True,2023-02-17 14:09:27,R_1Fn2yYpp3ODTPQU,,,,,42.1124,-87.979,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76A5DE8275ED4BAAAC306E31C4FA4412,8333f6d3-1eaf-449e-b386-a7118303a34b,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:07:16,2023-02-17 14:09:26,IP Address,151.203.70.100,100,129,True,2023-02-17 14:09:27,R_r9e1zqZ8Q7BEt3z,,,,,42.7252,-70.9784,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03E251C2120B46EDACA5FE41157F88F5,89e370ee-8132-46aa-a31d-7b98d38e8b2a,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:08:42,2023-02-17 14:09:29,IP Address,136.226.54.91,100,46,True,2023-02-17 14:09:29,R_3MiGVFEMSOvDHH4,,,,,47.6144,-122.3447,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B4C98C85F2CE44B0803EFF51E87FBF73,c28fcb60-fae9-4a47-b159-848f2f7300d4,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
2023-02-17 14:06:22,2023-02-17 14:09:39,IP Address,108.231.33.230,100,196,True,2023-02-17 14:09:39,R_11bict1RVwV4Zny,,,,,35.7598,-83.9699,anonymous,EN,Not sure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D67E4A7253E34596A21985B395E18907,5ed12694-3bdc-41c6-8bb0-ec8e0650027b,a0f04dc4-e92a-4aec-b9a0-5b5bfc1fd47a
